gene,IR1_S64_1,IR1_S64_2,IR2_S65_1,IR2_S65_2,IR3_S66_1,IR3_S66_2,IR4_S67_1,IR4_S67_2,IR5_S68_1,IR5_S68_2,IR6_S69_1,IR6_S69_2,RN1_S55_1,RN1_S55_2,RN2_S56_1,RN2_S56_2,RN3_S57_1,RN3_S57_2,RN4_S58_1,RN4_S58_2,RN5_S59_1,RN5_S59_2,RN6_S60_1,RN6_S60_2,HE4_S165_1,HE4_S165_2,HE5_S166_1,HE5_S166_2,HE6_S167_1,HE6_S167_2
gene-SHERM_18674,7,2,5,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,7,0,8,8,0,22,19,22,17,26,18
gene-SHERM_18677,97,105,87,0,70,92,57,0,55,61,98,0,91,85,108,105,99,110,21,0,27,28,18,0,485,486,527,522,186,200
gene-SHERM_18699,0,6,11,6,0,0,0,0,0,0,0,0,0,0,8,0,5,4,17,7,0,0,0,0,12,0,18,19,35,37
gene-SHERM_18718,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,4,0,10,3,14,25,48,37
gene-SHERM_18743,9,0,17,0,16,13,0,0,6,0,0,19,15,0,0,0,11,0,0,0,0,0,0,0,46,38,28,39,13,19
gene-SHERM_18785,0,10,0,0,5,0,0,0,0,0,5,3,0,0,0,0,0,5,0,4,0,3,4,0,26,34,30,35,20,18
gene-SHERM_18788,39,52,36,28,35,41,0,19,6,11,25,36,54,45,43,55,50,45,38,30,0,17,13,23,238,241,223,199,84,98
gene-SHERM_18800,7,3,4,0,6,7,0,0,6,0,5,0,3,9,8,5,8,8,0,5,0,0,5,4,43,38,34,34,0,17
gene-SHERM_18806,150,159,161,142,180,196,164,159,85,118,239,256,186,201,196,210,175,153,60,44,50,59,37,60,77,79,65,75,22,30
gene-SHERM_18812,21,29,36,13,24,20,20,18,11,8,18,23,22,26,38,31,25,21,16,17,10,7,10,21,9,10,8,20,3,11
gene-SHERM_18850,7,7,5,7,0,8,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,0,0,13,18,12,15,22,27
gene-SHERM_18853,1,0,0,0,0,0,2,4,3,2,4,2,0,0,1,0,0,3,2,0,0,0,2,2,3,2,4,5,11,6
gene-SHERM_18851,0,0,0,2,2,0,11,4,6,14,14,12,0,2,1,1,0,0,0,7,0,4,4,2,0,0,0,0,2,0
gene-SHERM_18873,44,35,18,42,39,19,24,22,20,13,30,36,32,25,26,35,22,35,0,13,16,15,13,0,145,165,151,163,65,66
gene-SHERM_18877,0,0,13,14,13,0,8,0,10,7,15,15,23,13,19,0,10,10,12,0,7,5,10,5,92,66,92,87,30,35
gene-SHERM_18884,0,6,7,9,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,4,0,3,0,32,38,28,22,25,35
gene-SHERM_18896,26,35,16,30,24,0,20,37,17,0,31,0,37,0,29,25,27,20,0,21,0,19,0,0,103,130,110,98,61,57
gene-SHERM_18903,3,6,0,10,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,13,25,25,28,15,12
gene-SHERM_18911,19,0,15,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,21,0,44,0,52,58,91,66
gene-SHERM_18962,0,8,6,0,3,0,0,0,0,0,6,6,4,0,10,0,7,4,8,0,4,0,4,0,44,54,52,43,32,10
gene-SHERM_18984,148,127,99,90,89,106,48,52,34,41,67,62,98,100,103,103,62,84,68,64,45,71,85,99,736,828,870,901,398,410
gene-SHERM_18989,6,5,5,4,9,0,0,0,0,0,0,0,11,0,4,4,0,5,0,0,0,3,0,0,18,17,15,18,16,15
gene-SHERM_19000,13,22,14,0,0,11,9,11,0,9,19,17,5,11,13,22,20,10,0,8,0,12,0,6,99,76,83,82,36,43
gene-SHERM_19010,0,40,35,0,40,47,9,0,0,0,19,0,43,0,59,0,64,51,0,10,0,11,0,0,83,68,0,80,29,35
gene-SHERM_19013,30,45,47,38,49,47,8,12,5,17,19,22,50,44,60,55,42,32,16,8,18,6,15,14,217,245,211,231,83,97
gene-SHERM_19036,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,5,0,0,0,14,8,10,9,11,8
gene-SHERM_19038,0,5,8,7,0,0,0,2,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,0,36,36,27,35,14,9
gene-SHERM_19060,0,0,0,0,5,0,0,0,0,0,0,0,0,7,6,0,0,9,0,13,4,0,7,3,9,17,16,20,19,17
gene-SHERM_19064,0,0,0,11,17,27,0,0,7,0,0,8,0,19,20,0,17,19,8,0,0,0,0,0,56,73,68,82,45,55
gene-SHERM_19071,31,50,33,44,27,45,0,0,0,9,9,13,35,41,35,36,28,31,0,12,0,13,4,11,76,94,114,128,45,59
gene-SHERM_19085,12,0,14,9,10,10,0,0,0,7,18,15,7,9,0,20,5,13,7,0,0,0,0,0,67,61,50,51,21,26
gene-SHERM_19103,0,4,0,5,5,7,14,9,5,6,12,20,0,0,8,0,8,0,9,5,0,6,0,9,8,11,33,25,47,59
gene-SHERM_19114,0,8,0,0,8,0,0,8,13,5,25,22,0,0,0,0,0,0,13,11,0,12,18,10,0,16,0,20,12,9
gene-SHERM_19125,82,62,60,71,78,66,37,52,33,39,62,81,67,68,46,55,50,52,26,27,21,0,21,16,368,372,420,392,184,170
gene-SHERM_19151,7,5,6,0,6,6,0,0,0,0,4,0,0,0,0,5,7,6,4,8,0,3,3,2,16,10,20,16,23,18
gene-SHERM_19153,9,9,13,6,13,17,18,9,6,7,24,20,13,14,13,27,10,7,12,9,9,13,12,9,114,137,167,180,48,52
gene-SHERM_19156,9,5,5,3,5,10,4,3,0,2,1,3,9,15,3,4,4,4,0,1,4,4,2,0,38,32,30,35,15,20
gene-SHERM_19159,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,9,7,9,0,0,0,0,8,0,0,8,13,8,30,22
gene-SHERM_19175,5,0,6,0,14,15,29,32,19,28,32,45,0,8,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,4
gene-SHERM_19200,4,0,10,8,0,8,6,7,0,0,10,10,0,0,9,0,0,5,0,4,10,0,0,11,45,32,36,39,0,26
gene-SHERM_19203,28,29,19,0,27,32,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,97,57,71,35,35
gene-SHERM_19224,13,0,4,10,14,14,5,10,6,0,13,15,6,9,15,16,16,17,0,0,0,0,0,10,24,29,29,35,17,19
gene-SHERM_19235,4,7,4,5,2,9,0,0,0,0,0,0,3,4,4,0,2,0,7,0,0,0,0,4,17,16,8,0,0,0
gene-SHERM_19244,42,54,46,44,40,52,27,35,30,25,52,60,43,42,59,32,43,43,4,3,10,3,3,14,27,25,27,25,8,12
gene-SHERM_19260,0,6,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,15,10,9,8,9,17
gene-SHERM_19279,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,9,2,7,0,14,10,10,9,15,17
gene-SHERM_19284,2,7,0,8,7,0,11,17,9,14,23,23,0,0,4,6,4,8,14,0,8,9,18,13,5,0,7,9,5,0
gene-SHERM_19289,53,37,43,46,35,32,24,21,25,24,39,40,26,39,41,33,36,34,0,0,0,0,0,0,190,201,163,162,83,85
gene-SHERM_19304,22,20,20,32,30,32,14,13,12,0,17,28,15,24,34,52,32,29,15,16,15,8,0,17,194,238,198,200,101,110
gene-SHERM_19315,14,28,24,20,23,18,177,243,171,174,336,349,20,11,20,8,22,11,27,25,12,12,15,22,0,0,0,3,0,0
gene-SHERM_19316,4,2,0,0,2,2,24,27,24,33,33,46,2,2,1,5,2,0,2,2,1,0,1,5,0,0,0,3,3,3
gene-SHERM_19336,38,34,0,23,33,37,41,37,35,32,65,65,0,23,25,30,36,0,58,65,57,76,74,69,36,35,0,0,0,11
gene-SHERM_19338,0,9,18,11,16,15,0,11,0,7,0,15,9,10,0,8,14,18,5,0,7,0,7,0,39,46,51,44,29,31
gene-SHERM_19365,10,12,7,19,7,18,0,9,6,8,18,17,18,13,21,13,13,12,12,12,0,7,17,0,8,15,0,6,0,6
gene-SHERM_19369,5,0,0,2,2,5,0,0,0,0,0,0,6,0,0,8,3,0,3,4,0,0,0,0,14,13,32,24,34,59
gene-SHERM_19376,8,0,0,0,5,0,3,3,0,4,0,3,0,4,8,4,4,4,10,7,5,6,5,0,20,30,17,35,16,10
gene-SHERM_19380,16,16,13,22,26,21,8,7,15,8,14,17,14,12,13,13,11,16,27,12,11,11,19,18,283,261,280,293,100,87
gene-SHERM_19417,2,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,3,3,9,3,3,2
gene-SHERM_19428,0,5,5,0,0,0,5,6,4,6,0,2,0,7,6,10,0,6,0,6,0,0,0,7,34,34,41,45,12,12
gene-SHERM_19461,0,0,0,0,0,0,0,0,0,0,11,10,0,0,3,6,16,0,0,4,0,0,0,0,23,39,28,36,0,11
gene-SHERM_19463,9,0,0,0,0,10,0,0,0,0,7,7,0,0,7,0,0,0,0,9,0,3,0,6,29,27,45,34,62,62
gene-SHERM_19545,15,9,11,5,15,13,6,4,6,5,19,12,15,5,18,16,11,15,6,16,8,13,13,7,6,5,5,4,5,0
gene-SHERM_19553,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,6,6,9,26,33,86,90
gene-SHERM_19579,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,2,4,0,2,0,8,6,3,4,1,1
gene-SHERM_19595,92,93,77,73,78,93,65,56,42,46,115,99,84,68,96,109,108,102,70,71,85,76,72,87,25,20,19,28,10,10
gene-SHERM_19597,9,17,15,12,20,19,5,0,0,4,9,0,0,17,15,19,8,11,11,0,3,10,6,0,60,63,73,88,25,28
gene-SHERM_19602,8,8,7,7,6,7,3,2,0,2,4,4,4,4,5,10,6,3,6,3,0,2,0,0,23,33,63,52,27,39
gene-SHERM_19639,0,0,0,0,0,2,10,15,8,7,17,12,0,0,0,0,0,0,2,7,0,9,0,4,0,0,0,0,0,0
gene-SHERM_19645,6,0,0,4,7,0,0,4,0,0,13,10,7,3,10,0,0,9,3,0,0,0,0,0,20,31,27,30,15,11
gene-SHERM_19705,19,20,13,14,14,14,10,9,16,8,14,18,13,17,18,20,12,16,0,9,3,5,8,3,74,75,78,71,28,41
gene-SHERM_19734,11,8,20,17,18,23,19,16,15,12,23,24,15,14,9,17,17,9,8,18,13,15,18,10,2,0,8,2,0,0
gene-SHERM_19761,47,37,20,31,21,27,87,80,91,91,149,137,39,53,49,53,53,55,61,78,57,54,71,78,73,58,86,92,34,38
gene-SHERM_19780,12,6,8,4,10,8,0,0,5,0,0,0,5,4,13,14,3,0,0,0,5,2,3,4,40,37,52,57,48,51
gene-SHERM_19802,25,31,23,32,45,34,36,26,25,23,45,55,33,22,34,27,37,42,49,64,33,38,37,40,20,9,14,0,13,6
gene-SHERM_19819,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,1,0,2,2,0,0,0,0,2,2,4,2,8,7,15
gene-SHERM_19862,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,2,4,4,6,7,4,4
gene-SHERM_19872,21,15,14,12,14,15,10,11,0,9,13,19,12,12,20,23,0,10,0,0,6,0,0,0,78,83,84,84,37,36
gene-SHERM_19889,0,0,0,0,21,0,0,0,0,0,11,0,24,17,0,19,22,16,0,0,0,0,0,0,45,39,28,35,19,13
gene-SHERM_19899,9,3,6,6,3,3,4,7,4,6,9,4,1,2,3,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0
gene-SHERM_19903,3,10,6,3,9,4,28,35,35,33,65,54,2,3,9,4,2,5,2,4,1,4,2,2,0,0,2,3,0,0
gene-SHERM_19941,0,0,0,6,0,0,29,21,15,21,48,34,0,0,0,0,0,0,21,23,15,12,15,13,10,3,0,6,7,0
gene-SHERM_19969,0,14,0,5,5,4,0,0,0,0,6,0,4,0,8,0,0,13,0,5,0,5,8,0,27,25,32,33,26,18
gene-SHERM_19971,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,19,10,13,5,7
gene-SHERM_19998,4,5,10,6,9,5,3,1,5,0,14,4,12,9,1,7,8,9,7,6,2,5,11,5,1,1,2,3,0,2
gene-SHERM_20008,0,1,1,1,1,1,2,3,2,3,8,4,1,2,3,0,2,0,5,4,1,0,3,0,24,26,28,26,16,10
gene-SHERM_20013,0,11,4,11,9,15,0,11,9,0,14,9,13,0,0,0,10,8,6,0,0,0,0,0,39,35,37,45,18,8
gene-SHERM_20036,9,21,13,9,13,16,14,15,6,7,14,17,17,23,10,15,13,25,7,4,11,11,0,4,5,13,17,12,5,3
gene-SHERM_20046,0,0,0,6,0,0,5,0,0,0,11,6,0,0,8,0,0,0,0,0,0,0,0,0,31,23,23,24,13,31
gene-SHERM_20103,0,7,0,0,4,5,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,14,19,10,10
gene-SHERM_20183,20,15,16,12,20,19,10,0,12,10,20,18,0,0,15,18,0,15,0,7,0,0,0,0,134,100,84,108,27,25
gene-SHERM_20200,40,0,0,49,0,46,23,24,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,250,226,179,189,80,80
gene-SHERM_20224,94,109,128,106,137,117,51,58,41,37,82,113,105,116,149,170,210,173,139,128,120,107,97,108,0,0,0,0,3,0
gene-SHERM_20226,0,0,5,0,4,0,0,0,0,0,0,0,7,5,5,4,5,0,0,7,0,0,0,0,21,18,13,0,7,10
gene-SHERM_20255,0,16,12,14,12,11,0,11,4,5,12,13,4,0,8,16,0,0,0,0,7,4,0,6,99,128,110,105,64,50
gene-SHERM_20258,43,42,42,32,47,59,18,19,11,21,31,24,30,33,51,42,28,28,32,34,31,27,38,40,635,721,649,638,309,298
gene-SHERM_20279,0,0,0,0,14,0,0,11,0,0,16,8,14,0,12,0,0,0,0,0,0,0,0,0,48,54,59,60,0,0
gene-SHERM_20294,0,8,14,8,11,0,0,0,7,2,8,0,6,11,7,11,0,0,15,0,9,0,8,8,40,51,52,80,34,45
gene-SHERM_20307,7,0,0,0,6,0,5,0,4,5,0,11,0,13,12,13,3,0,12,0,6,0,0,8,8,0,0,6,3,2
gene-SHERM_20308,19,7,21,25,20,20,29,30,26,33,54,50,16,28,26,25,19,21,16,26,25,28,21,26,14,28,26,19,24,24
gene-SHERM_20314,23,23,19,20,41,33,7,6,0,0,7,18,53,42,47,43,42,54,13,0,10,15,17,11,5,0,0,0,6,14
gene-SHERM_20318,0,12,29,11,22,30,18,34,0,22,32,31,25,0,19,19,0,16,23,16,26,18,26,12,0,0,0,0,0,0
gene-SHERM_20322,0,10,8,11,3,0,0,10,0,0,0,0,0,6,0,11,16,7,0,0,0,0,0,0,0,29,0,0,0,26
gene-SHERM_20343,22,0,0,9,0,0,10,7,5,0,9,7,10,0,0,0,0,0,9,0,6,0,18,0,230,259,218,213,83,99
gene-SHERM_20345,0,12,0,0,0,0,5,14,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,49,67,50,0,32,31
gene-SHERM_20347,0,0,12,18,5,0,0,0,0,0,0,0,9,0,10,8,0,0,10,0,0,9,12,3,0,0,15,11,26,14
gene-SHERM_20348,22,8,18,9,18,14,5,6,0,4,5,8,11,15,16,10,15,9,5,11,15,7,11,4,4,0,10,0,0,0
gene-SHERM_20353,37,40,26,25,29,25,0,5,0,4,0,13,16,22,24,31,24,19,13,4,9,0,0,7,6,7,0,0,3,0
gene-SHERM_20366,45,39,44,32,49,54,8,12,12,15,19,0,41,32,36,20,37,40,8,16,14,0,0,14,485,466,383,397,141,160
gene-SHERM_20370,0,4,0,0,0,0,3,0,8,0,8,4,0,0,0,0,2,3,0,0,5,0,6,3,11,8,24,13,37,37
gene-SHERM_20368,6,0,0,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,29,27,38,21,34,30
gene-SHERM_20378,227,218,162,208,180,177,100,97,106,77,148,148,132,135,171,184,128,115,165,221,177,184,199,221,1936,2078,2605,2612,1263,1325
gene-SHERM_20380,11,8,0,12,14,0,22,13,12,5,16,21,19,14,16,18,0,0,16,0,12,7,15,13,98,135,84,103,52,56
gene-SHERM_20449,5,5,0,6,9,9,6,9,8,0,12,3,8,8,7,10,7,10,0,6,7,7,4,4,0,4,0,0,5,0
gene-SHERM_20484,0,0,0,0,4,5,4,0,0,3,0,0,0,7,0,3,0,0,0,0,0,0,0,0,11,17,12,8,9,13
gene-SHERM_20500,14,14,20,21,12,20,8,5,0,9,14,8,13,16,19,10,21,12,4,6,9,6,5,4,13,13,8,15,4,0
gene-SHERM_20536,0,0,0,0,0,9,2,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,10,0,8,0,20,8
gene-SHERM_20556,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,6,10,24,20,15,32,39
gene-SHERM_20562,8,11,13,5,3,7,6,3,5,2,3,4,5,5,8,9,7,9,4,10,2,3,0,0,54,68,56,55,26,25
gene-SHERM_20579,86,68,70,82,93,105,26,35,26,30,48,73,40,50,73,69,38,47,56,63,47,53,52,70,790,795,744,711,325,331
gene-SHERM_20638,7,6,7,6,6,3,9,5,0,6,10,0,7,6,11,6,8,0,0,0,3,0,0,2,48,47,33,48,33,31
gene-SHERM_20696,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,7,7,32,31,24,25,16,23
gene-SHERM_20705,0,0,4,0,0,0,0,0,0,3,0,2,3,0,8,8,4,4,0,0,0,0,0,0,30,25,37,24,12,27
gene-SHERM_20714,0,8,6,6,12,0,0,4,0,5,0,3,7,10,7,11,15,11,0,4,0,5,0,0,24,28,25,19,17,13
gene-SHERM_20735,0,0,14,0,23,0,0,9,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,83,84,58,71,39,31
gene-SHERM_20740,51,24,21,18,30,25,7,0,7,9,23,17,29,15,29,34,22,29,0,17,0,13,0,12,200,182,199,205,70,72
gene-SHERM_20745,28,0,33,42,51,41,0,0,18,27,24,21,41,27,0,31,0,0,35,34,41,0,31,34,359,371,487,455,210,212
gene-SHERM_20776,0,8,0,0,5,5,0,8,2,0,2,5,3,8,6,0,9,8,8,8,0,8,4,0,37,38,22,25,24,25
gene-SHERM_20826,27,29,13,23,13,18,0,5,12,12,16,12,15,14,20,19,17,18,17,21,9,9,15,13,210,219,154,162,76,79
gene-SHERM_20832,31,31,0,25,25,25,0,0,0,0,0,0,18,15,33,0,18,24,0,0,0,0,0,0,0,0,0,0,0,12
gene-SHERM_20856,2,0,0,2,0,2,0,0,0,0,2,0,2,3,0,3,2,0,2,0,2,2,2,0,6,14,8,8,4,4
gene-SHERM_20873,0,10,6,0,0,5,0,0,0,0,0,0,14,8,0,6,0,9,5,0,0,0,0,0,25,31,31,40,22,20
gene-SHERM_20889,7,12,12,0,6,6,11,0,0,0,15,10,6,7,0,0,8,7,0,0,0,6,3,0,37,49,45,62,29,37
gene-SHERM_20895,0,0,0,0,0,0,0,0,0,10,0,0,0,25,0,17,0,0,35,25,0,0,0,28,15,18,21,16,21,25
gene-SHERM_20903,14,10,11,12,11,13,11,12,7,0,20,9,10,14,13,13,16,18,7,5,4,9,0,0,82,91,82,82,20,14
gene-SHERM_20917,12,8,4,14,0,8,0,4,0,0,21,8,11,16,23,22,16,19,9,10,0,9,6,7,9,4,10,14,0,0
gene-SHERM_20920,16,35,0,26,30,0,26,23,0,0,30,33,27,48,60,50,45,25,0,24,0,0,18,0,0,29,19,17,12,0
gene-SHERM_20923,104,119,91,111,0,104,0,0,0,0,0,0,107,0,0,117,108,114,0,0,0,0,0,0,2146,2234,1927,2055,770,776
gene-SHERM_20927,88,57,54,61,66,50,16,19,14,10,19,14,88,88,96,80,80,83,23,27,20,20,23,26,19,25,7,11,11,0
gene-SHERM_20933,15,19,11,0,16,10,0,14,8,10,13,15,24,9,14,17,12,12,0,6,0,0,12,7,102,84,74,80,25,42
gene-SHERM_20935,7,6,0,7,13,16,17,18,19,17,21,40,4,10,10,6,11,10,17,14,21,16,10,9,3,4,5,0,3,2
gene-SHERM_20958,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,7,0,0,19,18,12,20,21,18
gene-SHERM_20960,13,13,16,15,19,23,2,10,0,8,10,12,12,13,15,16,11,12,16,11,4,15,13,11,0,0,0,6,3,0
gene-SHERM_20962,5,10,7,8,8,7,5,2,5,7,7,8,5,8,15,4,8,13,4,2,3,2,7,1,40,50,47,38,36,27
gene-SHERM_20966,18,27,21,27,23,14,19,16,17,7,27,26,21,21,16,16,19,24,12,0,0,0,13,0,136,136,122,133,62,73
gene-SHERM_20968,6,6,5,1,5,5,11,7,5,8,10,6,3,5,6,6,8,13,0,0,0,2,0,2,3,2,0,0,0,0
gene-SHERM_20980,8,5,5,6,16,14,87,74,91,76,117,143,5,3,5,5,5,3,2,6,9,7,10,5,0,0,1,0,0,0
gene-SHERM_20999,0,5,7,4,9,0,3,0,0,6,8,0,6,11,17,8,9,15,8,8,6,5,9,5,18,23,30,24,73,53
gene-SHERM_21035,15,12,12,15,11,17,1,2,0,0,0,2,10,8,8,16,10,18,3,1,2,1,1,1,95,109,108,100,54,62
gene-SHERM_21038,0,0,7,8,0,8,0,6,0,0,4,0,0,8,10,0,0,0,10,5,0,11,8,9,54,54,49,51,49,48
gene-SHERM_21045,0,0,5,5,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,8,0,0,0,7,17,33,21,18,25,17
gene-SHERM_21073,13,19,14,19,16,25,0,16,0,0,0,21,19,24,8,16,18,15,0,0,0,2,4,0,20,22,24,25,7,19
gene-SHERM_21084,0,0,0,3,4,0,0,0,0,0,0,0,0,3,5,0,6,0,8,2,0,0,6,0,20,24,9,25,17,12
gene-SHERM_21085,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,13,3,5,0,5,0,0,0,24,26,33,32,23
gene-SHERM_21106,3,6,0,0,4,6,0,3,0,0,4,0,9,6,0,8,6,0,6,0,0,3,4,2,35,38,21,23,10,8
gene-SHERM_21121,20,16,8,9,16,0,0,11,0,9,12,14,0,10,0,7,7,14,18,19,0,0,11,0,52,72,52,59,31,58
gene-SHERM_21131,0,0,8,9,8,10,0,4,0,5,11,11,8,0,8,8,10,6,4,0,4,0,0,3,42,39,43,45,16,29
gene-SHERM_21217,42,45,42,52,51,49,24,30,19,0,56,77,46,43,33,39,41,32,50,45,42,44,40,40,0,0,5,0,0,0
gene-SHERM_21241,147,158,138,130,119,150,84,80,91,74,153,154,114,98,126,108,148,110,47,0,49,38,0,39,896,803,915,987,434,428
gene-SHERM_21282,0,4,0,0,5,0,11,0,5,0,11,9,6,9,0,0,9,9,7,7,3,7,0,3,21,21,23,17,15,10
gene-SHERM_21283,0,6,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,3,0,0,0,0,10,14,0,18,7,11
gene-SHERM_21351,18,17,12,10,13,18,9,8,0,0,0,8,8,13,13,24,16,9,10,0,10,0,8,6,61,45,47,74,35,26
gene-SHERM_21355,0,0,0,0,0,0,0,2,0,2,3,9,0,0,0,0,0,0,0,2,0,0,0,0,22,0,23,19,35,20
gene-SHERM_21359,2,4,1,3,5,1,3,1,0,1,0,2,6,1,4,5,2,6,3,2,2,2,0,0,2,2,5,0,0,2
gene-SHERM_21368,5,10,10,0,0,14,4,8,0,0,11,0,0,0,8,0,0,7,7,11,13,0,13,0,36,23,28,29,10,20
gene-SHERM_21366,15,16,14,8,11,14,12,0,0,0,15,21,0,16,17,18,15,10,11,0,15,0,0,16,74,62,82,64,74,55
gene-SHERM_21396,0,0,0,0,0,0,0,6,0,7,11,0,0,0,0,0,0,0,0,5,0,9,15,8,4,10,0,0,11,12
gene-SHERM_21441,6,0,6,11,12,8,0,0,0,0,0,5,5,0,4,0,0,0,0,0,0,0,0,0,9,14,11,13,4,6
gene-SHERM_21442,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,5,9,0,7,7,16,16,31,34
gene-SHERM_21469,0,16,14,10,8,13,0,10,8,8,19,14,0,10,15,0,17,15,8,0,0,10,0,9,105,106,110,120,41,49
gene-SHERM_21502,7,17,0,10,0,0,7,0,0,6,8,12,0,0,0,0,8,0,12,0,8,8,0,8,33,27,18,23,14,11
gene-SHERM_21513,10,9,10,0,13,0,0,0,8,4,0,0,0,9,8,11,7,10,0,0,0,0,0,0,47,44,32,36,16,13
gene-SHERM_21530,0,0,5,0,11,0,0,4,0,7,14,11,11,0,7,10,5,5,8,19,9,6,10,9,17,10,28,30,26,23
gene-SHERM_21536,23,15,0,16,12,14,0,0,0,5,9,13,20,11,16,12,25,0,0,0,0,8,0,0,88,101,81,66,33,44
gene-SHERM_21538,5,0,0,2,0,2,0,0,0,0,3,2,0,0,0,0,0,0,2,2,0,0,3,0,5,3,11,7,2,5
gene-SHERM_21546,14,22,8,12,17,21,5,3,10,0,7,9,13,14,11,9,13,25,3,9,4,3,0,0,100,88,69,57,29,32
gene-SHERM_21548,28,45,18,18,18,27,160,148,143,175,288,267,9,11,25,14,13,20,28,17,23,18,33,36,0,0,0,0,6,0
gene-SHERM_21559,29,25,33,13,27,26,65,89,76,66,120,121,21,13,25,32,16,20,0,18,0,7,10,6,5,0,9,15,11,10
gene-SHERM_21565,11,9,0,0,12,0,4,0,0,0,5,3,4,5,8,0,0,10,0,0,0,0,0,0,31,40,16,17,0,0
gene-SHERM_21568,46,54,39,47,51,36,0,0,0,0,2,0,32,37,37,33,36,20,0,0,0,0,0,0,61,51,65,54,30,18
gene-SHERM_21581,0,28,0,8,0,0,11,0,0,6,16,0,10,15,19,0,0,0,15,15,22,0,0,19,187,197,201,217,61,62
gene-SHERM_21583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,8,0,12,13,34,31,22,27
gene-SHERM_21592,0,9,0,3,8,0,4,0,0,0,0,10,8,6,5,5,0,0,0,5,7,0,4,0,23,31,32,32,34,31
gene-SHERM_21627,104,107,100,86,134,144,45,47,42,40,71,55,110,126,138,106,140,176,36,31,32,25,30,26,14,12,23,21,22,23
gene-SHERM_21640,8,10,8,7,2,3,5,9,2,1,13,11,8,2,7,14,8,6,3,2,2,0,0,2,32,45,29,31,15,9
gene-SHERM_21641,11,19,18,0,22,20,0,8,0,0,0,9,15,13,0,17,14,0,22,16,10,13,17,8,53,37,45,37,0,27
gene-SHERM_21649,28,27,19,0,0,19,18,0,0,0,22,0,22,21,21,27,0,25,0,16,0,22,16,13,144,151,146,161,84,0
gene-SHERM_21657,19,3,12,14,9,9,0,0,0,4,11,0,15,17,12,18,0,12,0,0,5,0,0,6,23,34,31,41,20,16
gene-SHERM_21658,10,8,8,5,6,8,5,4,3,0,0,7,0,5,4,4,5,8,5,0,3,0,0,3,50,47,46,39,18,15
gene-SHERM_21679,0,5,0,0,7,8,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,2,0,0,8,8,12,15,20,17
gene-SHERM_21715,47,53,35,44,52,42,25,23,25,20,39,38,60,55,53,63,61,65,50,40,48,46,43,33,17,24,33,21,10,14
gene-SHERM_21745,36,39,33,36,52,58,45,38,0,39,64,67,55,56,0,53,50,57,67,56,39,46,46,41,33,41,54,58,19,0
gene-SHERM_21755,9,8,6,10,11,0,0,6,0,0,6,0,0,10,3,8,4,4,0,0,0,0,0,5,15,19,19,20,16,10
gene-SHERM_21782,465,499,446,415,435,423,124,119,111,112,229,165,447,425,431,444,379,425,192,168,171,166,176,224,3185,3317,3033,3364,1190,1290
